,annual_max_air_temp
2000,30.30
2001,31.30
2002,31.90
2003,35.00
2004,30.50
2005,31.40
2006,35.40
2007,28.70
2008,28.20
2009,29.70
2010,27.90
2011,29.10
2012,28.10
2013,32.00
2014,28.70
2015,33.70
2016,33.10
2017,32.30
