,annual_max_air_temp
2000,28.50
2001,27.10
2002,27.10
2003,31.80
2004,25.80
2005,29.90
2006,11.80
2007,23.10
2008,24.20
2009,28.40
2010,25.20
2011,24.80
2012,26.60
2013,27.30
2014,28.10
2015,28.50
2016,28.20
2017,26.90
