,annual_max_air_temp
2000,28.70
2001,30.50
2002,29.40
2003,34.10
2004,29.50
2005,29.80
2006,33.90
2007,26.50
2008,28.80
2009,30.10
2010,28.40
2011,29.00
2012,28.30
2013,30.60
2014,28.40
2015,32.10
2016,31.80
2017,31.60
