,annual_max_air_temp
2000,22.80
2001,23.40
2002,22.70
2003,27.50
2004,23.00
2005,23.60
2006,27.60
2007,21.50
2008,21.30
2009,22.40
2010,21.30
2011,22.60
2012,21.90
2013,24.60
2014,20.40
2015,22.60
2016,22.30
2017,21.90
