,annual_max_air_temp
2000,24.10
2001,26.60
2002,23.80
2003,28.00
2004,27.20
2005,26.00
2006,29.70
2007,25.40
2008,26.90
2009,27.70
2010,24.30
2011,25.00
2012,25.50
2013,26.20
2014,26.10
2015,25.40
2016,25.90
2017,25.40
