,annual_max_air_temp
2000,28.20
2001,27.50
2002,25.90
2003,32.90
2004,26.10
2005,28.80
2006,29.90
2007,24.90
2008,25.80
2009,29.50
2010,27.00
2011,27.20
2012,24.40
2013,29.00
2014,27.00
2015,27.50
2016,29.80
2017,27.90
