,annual_max_air_temp
2000,27.30
2001,24.60
2002,26.00
2003,29.40
2004,24.80
2005,28.50
2006,29.60
2007,24.50
2008,25.50
2009,29.50
2010,25.30
2011,26.50
2012,25.70
2013,29.30
2014,27.80
2015,26.80
2016,27.40
2017,28.00
