,annual_max_air_temp
2000,21.50
2001,21.30
2002,21.40
2003,26.50
2004,22.20
2005,23.50
2006,24.60
2007,21.00
2008,23.20
2009,26.60
2010,21.50
2011,22.70
2012,24.20
2013,21.80
2014,25.10
2015,23.60
2016,22.50
2017,24.60
