,annual_max_air_temp
2000,25.80
2001,25.90
2002,26.50
2003,28.10
2004,25.70
2005,28.30
2006,30.30
2007,26.20
2008,25.50
2009,26.70
2010,25.80
2011,25.50
2012,25.60
2013,29.50
2014,28.30
2015,26.00
2016,28.60
2017,26.60
