,annual_max_air_temp
2000,28.90
2001,30.20
2002,28.30
2003,32.70
2004,28.50
2005,30.00
2006,34.80
2007,27.20
2008,28.00
2009,29.80
2010,28.10
2011,27.50
2012,29.00
2013,30.60
2014,28.90
2015,32.30
2016,31.90
2017,31.50
