,annual_max_air_temp
2000,24.60
2001,24.10
2002,24.00
2003,27.40
2004,24.20
2005,27.40
2006,29.40
2007,23.30
2008,24.60
2009,27.90
2010,25.30
2011,24.40
2012,25.10
2013,29.30
2014,27.50
2015,23.90
2016,26.10
2017,27.00
