,annual_max_air_temp
2000,27.40
2001,25.60
2002,26.60
2003,29.00
2004,24.70
2005,28.80
2006,29.90
2007,26.40
2008,25.30
2009,26.70
2010,25.60
2011,24.20
2012,26.50
2013,29.30
2014,27.50
2015,24.50
2016,27.40
2017,26.20
