,annual_max_air_temp
2000,21.60
2001,23.50
2002,20.80
2003,22.30
2004,22.70
2005,23.50
2006,23.20
2007,20.50
2008,21.10
2009,22.70
2010,22.10
2011,20.20
2012,21.40
2013,23.90
2014,24.50
2015,21.70
2016,22.90
2017,23.30
