,annual_max_air_temp
2000,30.70
2001,27.70
2002,28.60
2003,31.40
2004,28.80
2005,30.40
2006,30.60
2007,27.10
2008,27.40
2009,29.30
2010,28.20
2011,29.40
2012,28.70
2013,30.80
2014,28.20
2015,33.30
2016,31.00
2017,30.50
