,annual_max_air_temp
2000,30.90
2001,31.90
2002,30.40
2003,36.10
2004,29.30
2005,30.20
2006,36.00
2007,27.70
2008,28.80
2009,30.40
2010,29.60
2011,29.50
2012,30.00
2013,31.80
2014,30.60
2015,32.90
2016,32.10
2017,32.10
