,annual_max_air_temp
2000,26.00
2001,25.20
2002,24.80
2003,28.40
2004,24.30
2005,29.00
2006,28.60
2007,26.00
2008,25.60
2009,28.00
2010,25.20
2011,24.50
2012,25.80
2013,28.00
2014,28.90
2015,24.80
2016,27.30
2017,25.40
