,annual_max_air_temp
2000,30.40
2001,29.40
2002,29.80
2003,33.20
2004,29.50
2005,30.10
2006,34.40
2007,28.00
2008,27.40
2009,28.50
2010,29.30
2011,29.50
2012,29.00
2013,31.10
2014,28.70
2015,33.90
2016,31.30
2017,30.30
