,annual_max_air_temp
2000,31.00
2001,29.40
2002,29.00
2003,32.50
2004,29.90
2005,31.00
2006,33.90
2007,26.50
2008,28.50
2009,30.50
2010,27.20
2011,29.10
2012,27.70
2013,29.70
2014,28.10
2015,30.20
2016,31.40
2017,30.30
