,annual_max_air_temp
2000,28.10
2001,26.40
2002,26.00
2003,30.10
2004,25.20
2005,28.40
2006,29.60
2007,23.30
2008,25.40
2009,28.90
2010,25.80
2011,26.40
2012,26.60
2013,27.90
2014,27.60
2015,28.70
2016,28.20
2017,27.40
