,annual_max_air_temp
2000,29.80
2001,29.50
2002,27.00
2003,32.90
2004,28.20
2005,27.90
2006,34.30
2007,26.30
2008,28.00
2009,28.70
2010,25.30
2011,26.50
2012,27.00
2013,29.30
2014,28.40
2015,28.90
2016,32.00
2017,28.20
